D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
131.7654711,36.37651939,24.82484408,4.411764706,38.23529412,31.25,17.68551867,48.69322515,0.363202861,49.42250527,1.189696127,2.191971015,10.41768546,0.010314248,4.782796015,0.712147833,17.69086517,0.356864383,0.014736229,0.039612096,0.781524772,0.014736229,1.468607416,43768470.08,98.8172925,1633.607204,3277791.027,22.31738608,355.6183007,-91264.64603,-11.79155414,-186.5275438,0.171919771,60570311.11,67303878.32,1554759.459,289464.8751,8.7109375,0.27972,74100,0.089085,0.027658,188000,94998,8350.7,1469.6,0.00183631,-0.02989731
139.478324,22.94449202,18.49953622,0,29.57746479,54.6875,13.16696275,29.64177055,0.444202978,52.24736787,1.301533503,556.1233281,322.5377199,4.384961277,57.49966025,231.0055695,941.7618196,0.124406347,0.019480059,0.011654716,0.587865126,0.019480059,0.955759555,150507278.5,195.9131959,812.8351156,9320663.413,44.08577771,483.8262972,-276.5934997,-0.120116139,-10.3189939,0.052617869,153.3281889,767.5460413,37.09682793,36.77815612,1.2578125,-0.4703,2739.9,0.47196,0.031324,154000,1129.7,3204.1,634.65,0.000531854,-0.047914689
150.9732583,140.9524018,168.2148022,12.98701299,16.88311688,23.4375,119.5930013,109.6715318,1.090465313,47.75753724,0.383227375,169.9340257,129.7491817,1.211159944,16.59937733,61.12019873,318.2477294,0.241928352,0.033861915,0.066477869,0.590054202,0.033861915,1.022123185,936236227.5,482.7701366,10747.31155,2658161.622,23.05117006,160.9150529,22110.68286,2.904389865,-14.31363864,0.025527481,12138887.53,6913419.851,146193.4109,18221.60309,13.390625,-0.65569,9257.6,0.45056,0.032096,34867,19434,3949.1,700.93,0.005883173,-0.022701594
115.5152324,37.15378145,39.10701959,24.13793103,58.62068966,78.125,27.89826106,44.98238389,0.620204148,50.33239506,0.949276077,994.1735257,829.0733598,5.885741612,74.28702561,407.4837481,1907.523539,0.190434403,0.024931417,0.02606919,0.500608551,0.024931417,0.830612849,551934894.6,363.9589059,11269.89511,4798383163,1102.200494,34742.06647,-2063.898091,0.149171053,-15.94074219,0.067205001,165249.9996,100416.8723,2069.197607,42.39467459,2.0234375,-0.43221,59267,0.08651,0.034097,448000,122000,16256,2341.8,0.008271057,0.184312742
131.6192814,204.4846763,300.2723064,32.8125,56.25,140.625,214.0298655,197.6538372,1.082852064,51.20678999,0.638978222,309.7260997,235.0950656,2.235437316,38.53555695,122.8697901,586.9710625,0.34849581,0.021471745,0.04046775,0.582493234,0.021471745,0.885935229,380894002.6,237.4457177,42821.8292,101574976.5,158.8113358,1231.097031,74076.2353,13.56920044,-77.67341697,0.023964574,109900726.5,77689608.82,1815306.188,405351.0285,13.0234375,0.40027,19134,0.1611,0.03076,85505,7871.7,6187.5,1108.2,0.000555008,-0.011292142
149.8853172,78.27074878,92.4959529,3.947368421,19.73684211,54.6875,65.84428687,89.64787206,0.734476852,52.25899059,0.940916287,58.83253084,77.37618956,0.216583893,31.43506786,22.58065797,168.8857946,0.374859557,0.04773918,0.115474907,0.751340447,0.04773918,1.461463938,53424113.65,108.4113206,2160.077686,6772948.663,39.01078404,242.0104665,18842.53472,0.110965356,-79.94430707,0.102109924,15473151.26,1050871.232,71740.57899,24.50208035,9.796875,-0.16923,11747,0.1821,0.035211,168000,2385.2,5223.3,897.51,0.002761797,-0.037210709
161.4069445,17.38540375,8.252654264,0,2.409638554,0,5.86789645,23.94935269,0.245012737,52.2982322,1.575025813,19.2696785,41.69014817,0.14407797,68.00634871,8.134290508,130.187607,0.286451967,0.01364897,0.039855613,0.774392857,0.01364897,1.86826394,1856746289,649.7031615,61429.47872,1098932241,493.2263836,42919.18249,343.9781442,0.98661057,-20.54426507,0.0520969,156835.6401,38988.48405,2687.907216,2225.25484,3.609375,-1.3622,87487,1.5419,0.03302,4870000,96735,27121,4157.3,0.020030769,-0.077047748
131.5736444,69.62298821,110.664201,64.17910448,83.58208955,125,78.84967884,59.95672496,1.315109838,49.40634858,0.391198055,16.34487156,27.50632657,0.142648045,7.695473515,6.494148406,52.13005063,0.301662391,0.016244239,0.051071051,0.724933316,0.016244239,1.265327931,25954806.32,74.90365595,1148.805639,85690695.61,147.8802118,446.8446434,18401.43833,2.674005341,-11.54984973,0.017191977,7922813.662,4705647.652,99173.82396,15691.10108,6.6171875,1.0339,30140,2.7714,0.031571,1420000,57418,15279,2669.6,0.000166763,-0.030374239
123.2080287,226.8021619,308.2342315,62.29508197,75.40983607,54.6875,219.7881588,236.7549247,0.928336165,49.38822516,0.517160764,509.1077377,378.7896855,2.529789141,52.23635073,212.5974019,945.8882583,0.37810554,0.016727947,0.127277659,0.59591201,0.016727947,0.872488593,346929595.5,278.5970113,12733.2701,5144798.078,30.82496627,389.7141085,14547.85247,2.233761488,-18.69087848,0.046366241,5847442.739,3000469.245,65852.16463,10766.64744,5.65625,-0.4674,8181.5,0.15827,0.039938,138000,34828,4020.1,736.53,0.002590982,-0.088858856
131.996706,16.80350946,13.19074463,0,11.76470588,85.9375,9.396191586,21.91975986,0.428663071,48.88220932,1.365341641,147.3443,143.4624085,0.806829439,17.15278373,57.41176968,309.6846222,0.277916907,0.034549947,0.058456588,0.598172279,0.034549947,1.068101036,9425766.523,42.22674099,671.7039667,24550116.03,68.46004005,1706.926812,4789.710632,0.610182443,-10.11432122,0.021620214,460444.6261,269049.2662,5773.098252,762.0321446,2.390625,-0.16797,3396.5,0.28468,0.031315,82131,4926.7,2779.7,519.2,1.02E-05,-0.001881796
