D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
127.8117898,22.7412161,19.0116429,0,30.76923077,101.5625,13.50224945,27.87000996,0.484472358,55.09037326,1.126757913,2.427724641,9.794198936,0.009573888,4.477026221,21.80406117,20.59284312,0.382101318,0.002641095,0.047515056,0.739722952,0.024130316,1.49865546,9459774.768,41.63081598,730.5484204,537652477.3,368.5179796,4209.260868,57144.18372,6.792665133,-23.64436188,0.02604845,76219026.84,42689477.85,856827.2594,101052.1377,12.671875,-0.39148,17158,0.36496,0.028318,616000,5580.4,5674,996.59,0.002452584,-0.002613434
144.7089631,25.02947655,12.70302798,0,6.756756757,46.875,9.032997237,34.24831136,0.263750149,52.99971394,1.269797894,716.8742738,460.5211043,6.363806591,92.78529228,112.3257117,118.9992337,0.3826768,0.001310138,0.033392046,0.574739988,0.008381013,1.066671488,502204898.9,358.8654014,1998.669954,83945256.46,146.9568004,264.5115684,-327.8953237,0.463106022,-9.969511685,0.062255796,47239.89605,797.0405702,397.157183,484.9656864,3.1328125,-0.13269,1329.5,0.71364,0.031324,278000,463.16,2997.3,463.98,0.00148186,0.036662601
120.716165,318.8115457,439.164516,39.65517241,43.10344828,39.0625,313.1602948,320.2481639,0.977867573,52.34337829,0.714015515,72.93204623,41.27445241,0.692896228,20.00847601,113.6107293,78.68105931,0.28032749,0.00174549,0.059504166,0.662878589,0.046047354,1.405651814,617348325.4,377.850018,18001.84498,22438624.06,69.52056653,1010.545674,20008.99189,3.627083934,-8.918486667,0.021880698,8949331.672,5141130.131,120724.3148,28312.32965,13.6328125,-0.66599,19401,0.96131,0.034314,119000,73211,7036,1216.5,0.003837367,-0.054013073
118.3190666,98.54731188,135.9324012,48.33333333,75,164.0625,96.93716754,100.8546454,0.961157189,49.43756506,0.659752297,624.5455676,542.3758277,4.836068031,160.165184,153.6613321,155.6807307,0.324644902,2.57039E-06,0.159978663,0.585454967,0.09288297,1.264850207,116009173.2,132.2254352,12730.47169,4339082622,1053.684056,19724.48024,1601.579721,-0.281778111,-15.89835087,0.066163063,96718.57387,44173.237,954.2516181,162.2006389,1.375,-0.8951,67163,0.79107,0.034026,21400000,17429,19974,2957.6,0.007330117,-0.129691418
138.0597287,52.01449972,81.05295721,11.5942029,24.63768116,140.625,57.73851065,46.38810183,1.244683623,50.83744535,0.626367652,435.3511986,260.5961886,3.36865217,26.68172816,92.83841582,88.30748006,0.408934537,0.000415949,0.245800674,0.674684684,0.015353329,0.917216297,81023090.03,132.6044167,3516.747517,5409256.761,29.58350314,533.6159191,80807.97816,8.558157045,-43.01099562,0.016931493,127023161.7,77904409.46,1640721.371,159505.0838,9.5078125,0.021799,17551,0.019362,0.030674,4676.8,1413.5,5307.8,1028.7,0.004637789,0.089535683
147.6104963,37.13342509,19.2479453,3.947368421,21.05263158,46.875,13.70075176,50.80081809,0.269695495,50.94691099,1.6439459,85.71621703,96.34306457,0.310772592,29.56673007,32.57126014,33.43115887,0.302740038,0.001365944,0.037811117,0.62418848,0.016203136,1.424630888,169602514.1,189.6918277,8186.463776,4274976.993,26.14825847,429.6557272,13513.43444,2.77861222,-50.79577428,0.102370409,17609530.55,5284675.812,89757.30736,16166.62877,10.3671875,-0.56791,21510,0.094399,0.03021,113000,14440,5145.1,1072.6,0.001361803,-0.062933841
145.2003294,29.06910118,29.01278498,6.756756757,12.16216216,109.375,20.65286024,35.44790165,0.582625749,52.02020466,1.181445895,17.47553909,47.1575656,0.134682051,50.28090791,27.66329407,29.43563765,0.327260501,0.002639878,0.028691631,0.773723067,0.020613465,1.853630991,37189386.27,93.83452019,880.0480077,10243216.4,40.49394526,1028.01238,5223.673476,0.612427732,-24.25059236,0.018233915,633653.6618,355056.9033,6845.733213,834.4465302,1.3046875,-1.508,162000,0.43055,0.034498,6970000,24058,21366,4618,0.014211648,-0.229315514
132.0697316,72.73525607,106.4288859,38.80597015,71.64179104,140.625,75.82272021,69.34132042,1.09347096,51.31266822,0.524750136,55.53976603,46.69732614,0.283310401,9.982542349,54.84308163,46.80588634,0.217218682,0.003033316,0.019724994,0.687949692,0.017417632,1.077595329,17266672.11,51.68030976,1826.150338,35434789.47,79.98052747,2831.662396,4077.622105,0.599330899,-11.35276125,0.029695233,354855.3308,224023.1895,4674.571503,840.685042,2.4453125,0.20127,28896,0.14057,0.030784,652000,1105.7,8668.7,1424.3,0.001596538,0.035588334
127.6228775,206.7566541,322.7534416,44.44444444,44.44444444,93.75,230.0839273,183.5777291,1.253332463,50.24030447,0.532979152,433.8249702,444.5988523,4.238535353,91.3352959,154.4785801,135.1937346,0.358588699,0.00326641,0.031823632,0.608675672,0.022061831,0.763180311,79909685.48,90.16501606,12683.38677,39339813.85,87.58988536,2573.425336,18808.03232,1.279885644,-85.31986173,0.083615525,14011118.5,5313298.205,131904.8351,5329.345024,8.1484375,0.024152,18389,4.656,0.039206,3610000,23752,16434,3046.2,0.002689537,0.122700188
129.3008995,104.8986607,149.1729187,26.15384615,43.07692308,187.5,106.3150387,105.0839319,1.011715461,50.59189384,0.686699382,310.1156199,420.2056787,1.456152605,539.4359467,116.7808682,149.3027872,0.20957238,0.002371559,0.007903207,0.621281089,0.011657109,1.41319563,13587282351,1525.601018,1211211.732,765905014.2,403.566778,36597.81717,-147168.6767,3.174091977,-121.7539854,0.102891378,308973050.5,219201040.9,4298930.895,16093.16212,11.4921875,-0.86222,5191.9,0.60185,0.032157,262000,3205.2,6690.9,949.85,0.003676235,-0.091428888
