PPG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_TP,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_ApEn,HRV_ShanEn,HRV_FuzzyEn,HRV_CD,HRV_KFD,HRV_LZC,EEG_PW_alpha,EEG_PW_beta,EEG_PW_theta,EEG_PW_gamma,EEG_PW_slowalpha,EEG_PW_all,EEG_SE_alpha,EEG_SE_beta,EEG_SE_theta,EEG_SE_gamma,EEG_SE_slowalpha,EEG_SE_all,temg_energy_values,temg_mean_values,temg_variance_values,zemg_energy_values,zemg_mean_values,zemg_variance_values,GSR_avg,GSR_avgderi,GSR_avgnagaderi,GSR_propnegaall,GSR_ps1,GSR_ps2,GSR_ps9,GSR_ps10,GSR_risingtime,Resp_avgderi,Resp_breathrhythm,Resp_energyratio,Resp_peakdistance,Resp_ps1,Resp_ps10,Resp_range,Resp_stdvariance,temp_var,temp_mean,classification
131.7654711,455.480239,36.37651939,24.82484408,25.01110036,0.0798641,0.054502571,449.21875,40.53984375,0.090245217,54.6875,1.465327205,421.875,480.46875,4.411764706,38.23529412,390.625,542.96875,7.555555556,31.25,0.017899709,17.68551867,48.69322515,0.363202861,2705.429456,2.753282279,4.139206324,536.2647756,0.676470588,0.672131148,0.951219512,0.157894737,49.4011976,49.42250527,49.3802664,45.90163934,0.393569845,0.606430155,11.09552543,13.77296233,0.553886131,0.446113869,36.23921535,32.52306022,0.535201019,0.464798981,26.79917362,24.97442629,1.189696127,0.305347113,1.189696127,1.238799414,0.17888503,-0.46675009,-0.339188631,0.000196597,0.008567184,0.393900181,4.725648739,1.106045985,2.106757678,3.02651792,0.805693611,2.191971015,10.41768546,0.010314248,4.782796015,0.712147833,17.69086517,0.356864383,0.014736229,0.039612096,0.781524772,0.014736229,1.468607416,43768470.08,98.8172925,1633.607204,3277791.027,22.31738608,355.6183007,-91264.64603,-11.79155414,-186.5275438,0.171919771,60570311.11,67303878.32,1554759.459,289464.8751,8.7109375,0.27972,74100,0.089085,0.027658,188000,94998,8350.7,1469.6,0.00183631,-0.02989731,1
139.478324,430.1276408,22.94449202,18.49953622,18.6208973,0.053343449,0.04300941,425.78125,17.37421875,0.040805505,27.34375,1.240273904,410.15625,445.3125,0,29.57746479,382.8125,496.09375,4.733333333,54.6875,0.028056014,13.16696275,29.64177055,0.444202978,1226.138759,2.251223088,3.795509731,266.920953,0.732394366,0.746031746,0.936170213,0.4,52.23880597,52.24736787,52.22647761,50.79365079,0.560509554,0.439490446,9.864199056,8.734640537,0.430462479,0.569537521,19.4478588,22.36996535,0.451917561,0.548082439,15.41949472,16.98100843,1.301533503,0.703847911,1.301533503,1.478107515,-0.3461659,-0.781943411,-0.249130447,0.000245358,0.023726302,0.666213774,4.232660726,1.234842346,2.083784439,2.369486543,1.039393879,556.1233281,322.5377199,4.384961277,57.49966025,231.0055695,941.7618196,0.124406347,0.019480059,0.011654716,0.587865126,0.019480059,0.955759555,150507278.5,195.9131959,812.8351156,9320663.413,44.08577771,483.8262972,-276.5934997,-0.120116139,-10.3189939,0.052617869,153.3281889,767.5460413,37.09682793,36.77815612,1.2578125,-0.4703,2739.9,0.47196,0.031324,154000,1129.7,3204.1,634.65,0.000531854,-0.047914689,1
150.9732583,400.2637987,140.9524018,168.2148022,169.1300444,0.352148764,0.420259845,363.28125,11.5828125,0.031883871,15.625,0.837931026,355.46875,378.90625,12.98701299,16.88311688,339.84375,1359.375,2.75,23.4375,0.052661964,119.5930013,109.6715318,1.090465313,41204.96474,0.917039715,5.321919657,402.2926009,0.623376623,0.625,0.85,0.238095238,43.33333333,47.75753724,36.4163075,43.75,0.291962309,0.708037691,64.69768941,100.7519741,0.302022617,0.697977383,60.27172792,91.62512589,0.296551942,0.703448058,62.52388425,96.29673925,0.383227375,1.862360844,1.59019121,0.892817733,0.286923136,0.127235621,-0.87445669,0.015677508,0.591493033,0.291781922,3.726488771,0.332983339,0.290244318,1.543836085,0.651094706,169.9340257,129.7491817,1.211159944,16.59937733,61.12019873,318.2477294,0.241928352,0.033861915,0.066477869,0.590054202,0.033861915,1.022123185,936236227.5,482.7701366,10747.31155,2658161.622,23.05117006,160.9150529,22110.68286,2.904389865,-14.31363864,0.025527481,12138887.53,6913419.851,146193.4109,18221.60309,13.390625,-0.65569,9257.6,0.45056,0.032096,34867,19434,3949.1,700.93,0.005883173,-0.022701594,1
115.5152324,519.8679957,37.15378145,39.10701959,39.45409915,0.071467722,0.075224903,519.53125,43.43554688,0.083605263,52.734375,0.950054027,485.9375,553.125,24.13793103,58.62068966,437.5,597.65625,8.285714286,78.125,0.028064305,27.89826106,44.98238389,0.620204148,3942.479776,1.61237232,4.302739584,290.1134026,0.672413793,0.679245283,0.944444444,0.2,50.32967033,50.33239506,50.32719829,52.83018868,0.529494136,0.470505864,20.30082619,19.13663862,0.42929018,0.57070982,29.47256571,33.98209427,0.457127143,0.542872857,25.30568783,27.57710707,0.949276077,0.411024103,1.256883674,1.051371623,1.656497777,0.656497777,-1,0.000554175,0.031961315,0.202821073,4.653251633,1.408567416,2.021656524,3.541473528,1.009996723,994.1735257,829.0733598,5.885741612,74.28702561,407.4837481,1907.523539,0.190434403,0.024931417,0.02606919,0.500608551,0.024931417,0.830612849,551934894.6,363.9589059,11269.89511,4798383163,1102.200494,34742.06647,-2063.898091,0.149171053,-15.94074219,0.067205001,165249.9996,100416.8723,2069.197607,42.39467459,2.0234375,-0.43221,59267,0.08651,0.034097,448000,122000,16256,2341.8,0.008271057,0.184312742,1
131.6192814,464.4165039,204.4846763,300.2723064,302.6839385,0.4403045,0.646558216,421.875,28.95703125,0.068638889,36.1328125,0.680997455,394.53125,441.40625,32.8125,56.25,304.6875,1503.90625,6.4,140.625,0.1266342,214.0298655,197.6538372,1.082852064,132901.3833,0.923487181,5.830499611,730.1231398,0.671875,0.698412698,0.931818182,0.125,50.13661202,51.20678999,49.20590281,49.20634921,0.460783208,0.539216792,145.2857547,157.1652096,0.551759926,0.448240074,146.8183461,132.3306941,0.502658361,0.497341639,146.0540606,145.2795852,0.638978222,0.818425764,0.544257077,0.597719716,1,0.960672357,-0.434676252,0.00639601,0.19826672,0.478173139,4.726813384,0.526559798,0.60751794,1.978395971,0.75,309.7260997,235.0950656,2.235437316,38.53555695,122.8697901,586.9710625,0.34849581,0.021471745,0.04046775,0.582493234,0.021471745,0.885935229,380894002.6,237.4457177,42821.8292,101574976.5,158.8113358,1231.097031,74076.2353,13.56920044,-77.67341697,0.023964574,109900726.5,77689608.82,1815306.188,405351.0285,13.0234375,0.40027,19134,0.1611,0.03076,85505,7871.7,6187.5,1108.2,0.000555008,-0.011292142,1
149.8853172,401.1615954,78.27074878,92.4959529,93.1178835,0.195110274,0.230570309,382.8125,23.165625,0.060514286,37.109375,0.846207281,371.09375,425.78125,3.947368421,19.73684211,343.75,1003.90625,5.428571429,54.6875,0.17165997,65.84428687,89.64787206,0.734476852,18544.19376,1.361513296,4.975178066,488.2270792,0.486842105,0.461538462,0.733333333,0.176470588,50.73800738,52.25899059,48.97225568,52.30769231,0.367616285,0.632383715,39.92269727,52.36159217,0.606606045,0.393393955,69.82217164,56.22815409,0.522858151,0.477141849,56.87247757,54.32928146,0.940916287,2.595837091,1.786024001,1.406724768,-0.062791747,0.574806676,-0.646118273,0.007187232,0.613707471,0.453519927,4.418852107,0.523639546,0.807543968,1.372292671,0.739886153,58.83253084,77.37618956,0.216583893,31.43506786,22.58065797,168.8857946,0.374859557,0.04773918,0.115474907,0.751340447,0.04773918,1.461463938,53424113.65,108.4113206,2160.077686,6772948.663,39.01078404,242.0104665,18842.53472,0.110965356,-79.94430707,0.102109924,15473151.26,1050871.232,71740.57899,24.50208035,9.796875,-0.16923,11747,0.1821,0.035211,168000,2385.2,5223.3,897.51,0.002761797,-0.037210709,1
161.4069445,371.7996988,17.38540375,8.252654264,8.298458742,0.046760134,0.022196506,367.1875,17.37421875,0.047317021,19.53125,2.106643899,355.46875,382.8125,0,2.409638554,347.65625,425.78125,4.882352941,0,0.100295065,5.86789645,23.94935269,0.245012737,441.4953092,4.081420471,3.351896204,390.9895134,0.445783133,0.417910448,0.678571429,0.095238095,52.23880597,52.2982322,52.17673941,50.74626866,0.540983607,0.459016393,4.318521862,3.977930291,0.397488197,0.602511803,15.09926816,18.58987884,0.405623774,0.594376226,11.10489824,13.44260996,1.575025813,0.08199336,1.593812783,1.552816103,1.039467008,0.033062454,-1,3.82E-05,0.001487723,0.496104385,3.762152701,0.903740649,1.732367577,1.836706068,0.614461632,19.2696785,41.69014817,0.14407797,68.00634871,8.134290508,130.187607,0.286451967,0.01364897,0.039855613,0.774392857,0.01364897,1.86826394,1856746289,649.7031615,61429.47872,1098932241,493.2263836,42919.18249,343.9781442,0.98661057,-20.54426507,0.0520969,156835.6401,38988.48405,2687.907216,2225.25484,3.609375,-1.3622,87487,1.5419,0.03302,4870000,96735,27121,4157.3,0.020030769,-0.077047748,1
131.5736444,458.8386194,69.62298821,110.664201,111.5102852,0.15173742,0.241183275,464.84375,46.33125,0.099670588,82.03125,0.629137405,395.3125,496.09375,64.17910448,83.58208955,339.84375,757.8125,8.375,125,0.0462552,78.84967884,59.95672496,1.315109838,14852.09449,0.76039276,4.878757814,182.3626384,0.71641791,0.738461538,0.979166667,0.25,49.62042788,49.40634858,49.88767092,52.30769231,0.562779634,0.437220366,59.15298034,52.13839237,0.395904302,0.604095698,37.72532697,46.60052116,0.501643593,0.498356407,49.60985475,49.44704507,0.391198055,2.266609055,0.623507612,1.228442305,-1.855959601,-2.075645896,-0.233110264,0.002367295,0.346936861,0.490318113,5.041772915,1.616239058,1.881227486,3.859963418,1.17700238,16.34487156,27.50632657,0.142648045,7.695473515,6.494148406,52.13005063,0.301662391,0.016244239,0.051071051,0.724933316,0.016244239,1.265327931,25954806.32,74.90365595,1148.805639,85690695.61,147.8802118,446.8446434,18401.43833,2.674005341,-11.54984973,0.017191977,7922813.662,4705647.652,99173.82396,15691.10108,6.6171875,1.0339,30140,2.7714,0.031571,1420000,57418,15279,2669.6,0.000166763,-0.030374239,1
123.2080287,501.9211066,226.8021619,308.2342315,310.8273951,0.45186815,0.614108926,390.625,46.33125,0.118608,335.9375,0.735811077,367.1875,730.46875,62.29508197,75.40983607,320.3125,1539.0625,6.777777778,54.6875,0.114257526,219.7881588,236.7549247,0.928336165,163475.6923,1.077195996,5.920423295,1020.125828,0.68852459,0.724137931,0.976190476,0.25,49.50667441,49.38822516,49.36177305,58.62068966,0.475978886,0.524021114,151.6384491,159.1072183,0.534268913,0.465731087,173.0529369,161.5721988,0.507286429,0.492713571,162.6983992,160.3444454,0.517160764,2.158124353,1.030149503,1.367671185,-0.154210701,-0.555539553,-0.343604155,0.011422806,0.626980721,0.550324746,5.002389953,0.840031213,0.671514692,2.690940551,0.972252023,509.1077377,378.7896855,2.529789141,52.23635073,212.5974019,945.8882583,0.37810554,0.016727947,0.127277659,0.59591201,0.016727947,0.872488593,346929595.5,278.5970113,12733.2701,5144798.078,30.82496627,389.7141085,14547.85247,2.233761488,-18.69087848,0.046366241,5847442.739,3000469.245,65852.16463,10766.64744,5.65625,-0.4674,8181.5,0.15827,0.039938,138000,34828,4020.1,736.53,0.002590982,-0.088858856,1
131.996706,454.5611213,16.80350946,13.19074463,13.28822158,0.036966447,0.029018638,457.03125,17.37421875,0.038015385,23.4375,1.273886344,437.5,468.75,0,11.76470588,394.53125,488.28125,4.533333333,85.9375,0.055075634,9.396191586,21.91975986,0.428663071,647.0495327,2.332834495,3.517907638,204.5406877,0.676470588,0.661016949,0.948717949,0.222222222,48.9010989,48.88220932,48.92132431,52.54237288,0.527486911,0.472513089,6.825360459,6.459913014,0.499094082,0.500905918,15.4855631,15.51364585,0.503502622,0.496497378,11.96637393,11.88283813,1.365341641,0.558351194,1.402986857,1.601393402,0.003179636,-0.872858521,-0.144656361,9.18E-05,0.018780143,0.261127286,3.819247167,1.189851631,1.891149166,2.460703287,0.805693611,147.3443,143.4624085,0.806829439,17.15278373,57.41176968,309.6846222,0.277916907,0.034549947,0.058456588,0.598172279,0.034549947,1.068101036,9425766.523,42.22674099,671.7039667,24550116.03,68.46004005,1706.926812,4789.710632,0.610182443,-10.11432122,0.021620214,460444.6261,269049.2662,5773.098252,762.0321446,2.390625,-0.16797,3396.5,0.28468,0.031315,82131,4926.7,2779.7,519.2,1.02E-05,-0.001881796,1
